OBS_STATUS,CONF_STATUS,FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,METHOD_REF,COLLECTION,COLLECTION_DETAIL,SUPP_INFO_BREAKS,DECIMALS,COMPILING_ORG,UNIT_MULT,TITLE,DISS_ORG,DATA_COMP,TIME_PERIOD,value
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-06,5.585728114758
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-07,5.6740960675098
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-08,5.4600588184925
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-09,5.4753609446756
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-10,5.5062148630009
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-11,5.578070922754
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1954-12,5.7905878831443
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1955-01,5.5320643456556
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1955-02,5.5123521896263
A,F,M,GB,B,USD,_Z,B,BIS-spliced,E,The data in billions of US dollars are calculated using market exchange rates.,"This series is adjusted for breaks. Break-adjustment calculations follow the methodology outlined in the BIS Quarterly Review (2013). For further detail, see https://www.bis.org/publ/qtrpdf/r_qt1303z.htm",3,Bank of England; Bank for International Settlements.,9,"United Kingdom - Central bank, assets, total, BIS-spliced, USD",5B0,From September 2013 onwards: Bank of England's Weekly Report. Between June 2006 and August 2013: weekly amounts outstanding of central bank total assets. Between September 1844 and May 2006: Huang and Thomas (2016): 'The weekly balance sheet of the Bank of England 1844-2006'. Between 1696 and 1844: Thomas (2019): 'The Bank of England's balance sheet 1696-2019'.,1955-03,5.626471823032
